"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 29 18:35:15 IST 2023","Tue Aug 29 18:35:19 IST 2023","3976","Suite","Tests with TestNG","com.example.testCases.PostTest","com.example.testCases.PostTest","putPostTest","putPostTest",""
"passed","Tue Aug 29 18:35:06 IST 2023","Tue Aug 29 18:35:07 IST 2023","877","Suite","Tests with TestNG","com.example.testCases.PostTest","com.example.testCases.PostTest","getPostTest","getPostTest",""
"passed","Tue Aug 29 18:35:19 IST 2023","Tue Aug 29 18:35:23 IST 2023","3222","Suite","Tests with TestNG","com.example.testCases.ToDoTest","com.example.testCases.ToDoTest","deleteToDoTest","deleteToDoTest",""
"passed","Tue Aug 29 18:34:51 IST 2023","Tue Aug 29 18:34:52 IST 2023","612","Suite","Tests with TestNG","com.example.testCases.UserTest","com.example.testCases.UserTest","getUserTest","getUserTest",""
"passed","Tue Aug 29 18:34:14 IST 2023","Tue Aug 29 18:34:26 IST 2023","11224","Suite","Tests with TestNG","com.example.testCases.CommentTest","com.example.testCases.CommentTest","postCommentTest","postCommentTest",""
"passed","Tue Aug 29 18:35:28 IST 2023","Tue Aug 29 18:35:31 IST 2023","2976","Suite","Tests with TestNG","com.example.testCases.ToDoTest","com.example.testCases.ToDoTest","postToDoTest","postToDoTest",""
"passed","Tue Aug 29 18:34:52 IST 2023","Tue Aug 29 18:34:53 IST 2023","1281","Suite","Tests with TestNG","com.example.testCases.UserTest","com.example.testCases.UserTest","postUserTest","postUserTest",""
"passed","Tue Aug 29 18:35:31 IST 2023","Tue Aug 29 18:35:35 IST 2023","4073","Suite","Tests with TestNG","com.example.testCases.ToDoTest","com.example.testCases.ToDoTest","putToDoTest","putToDoTest",""
"passed","Tue Aug 29 18:35:07 IST 2023","Tue Aug 29 18:35:10 IST 2023","3672","Suite","Tests with TestNG","com.example.testCases.PostTest","com.example.testCases.PostTest","postPostsTest","postPostsTest",""
"passed","Tue Aug 29 18:34:31 IST 2023","Tue Aug 29 18:34:44 IST 2023","12999","Suite","Tests with TestNG","com.example.testCases.CommentTest","com.example.testCases.CommentTest","putCommentTest","putCommentTest",""
"passed","Tue Aug 29 18:34:49 IST 2023","Tue Aug 29 18:34:51 IST 2023","2561","Suite","Tests with TestNG","com.example.testCases.UserTest","com.example.testCases.UserTest","deleteUserTest","deleteUserTest",""
"passed","Tue Aug 29 18:35:28 IST 2023","Tue Aug 29 18:35:28 IST 2023","576","Suite","Tests with TestNG","com.example.testCases.ToDoTest","com.example.testCases.ToDoTest","getToDoTest","getToDoTest",""
"passed","Tue Aug 29 18:34:53 IST 2023","Tue Aug 29 18:34:57 IST 2023","4367","Suite","Tests with TestNG","com.example.testCases.UserTest","com.example.testCases.UserTest","putUserTest","putUserTest",""
"passed","Tue Aug 29 18:34:00 IST 2023","Tue Aug 29 18:34:08 IST 2023","8379","Suite","Tests with TestNG","com.example.testCases.CommentTest","com.example.testCases.CommentTest","deleteCommentTest","deleteCommentTest",""
"passed","Tue Aug 29 18:35:02 IST 2023","Tue Aug 29 18:35:06 IST 2023","3397","Suite","Tests with TestNG","com.example.testCases.PostTest","com.example.testCases.PostTest","deletePostTest","deletePostTest",""
"passed","Tue Aug 29 18:34:13 IST 2023","Tue Aug 29 18:34:14 IST 2023","878","Suite","Tests with TestNG","com.example.testCases.CommentTest","com.example.testCases.CommentTest","getCommentTest","getCommentTest",""
